iPhone - Check-In - Keyboard;incomplete;Check In keyboard (when typing) is extremely sluggish and has crashed multiple times when I began typing fast;false
iPhone - Profile;incomplete;Missing avatar image in Profile view when custom photo isn’t used;false
Dimension - Event;incomplete;Need to define max amount of characters for the Title 1 and Title 2 box;false
iPhone - Check In Page;incomplete;The Check In page will go blank (all white) after you shift focus outside Uphoria and then go back in. If you were on the Check In page when focus shifted, navigate to another area in Uphoria and then back to Check In to see the blank page. Killing the Uphoria process returns the normal page. Tested on iOS 5 & 6.;true
iPhone - Sign In with Twitter;complete;Clicking 'Sign In with Twitter' brings up the spinner, but no other action occurs.;false
iPhone - Sign In with Twitter;incomplete;When signing in with Twitter, if there are more than 3 Twitter accounts associated for the user, the 4th item on the "Choose Your Twitter Account" list cannot be selected.;false
Android Concierge - Order of Channels;incomplete;Order of TVs (displayed on left side) with SV Director don't appear in same order on the tablet;false
Android Concierge - Order of Channels;incomplete;Need to add channel name below the channel logo;false
Android Concierge - Space Name on Nav Bar;incomplete;Pull space name and show on top right on nav bar so user knows what space they are controlling;false
Android Concierge - Channel Images Disappear;incomplete;Channel images will occasionally disappear as user scrolls – based on WiFi - need to cache;false
Functionality - iPhone - Share an event with social media (12);incomplete;The default text used for sharing via social media is not uniform. The default text displayed for Twitter and Facebook is the Event Name (i.e. "Dave Ramsey #1"), The default text displayed for Email and Text Message is the entire Event Description text. Not sure any default text is needed, but it should at least be uniform.;false
Android Concierge - App crashes;complete;Source ID – if channel doesn't have one, will crash the app;false
Android Concierge - App crashes;complete;No connection to IP address, hit Select All, crashes app;false
Android Concierge - App crashes;incomplete;No connection to IP, channels still populate and an error message pops up. After clearing the error message, we should either clear the channels or return the user to settings.;false
Android Concierge - Channel Rows Freeze;incomplete;When you bring up the app for the first time you can freeze rows of channels by quickly scrolling across (happened numerous times – most isolated was in the Sports row when we froze it somewhere between ESPN2 and ESPNU) - I'm guessing this has something to do with the caching of channel images as we could not recreate the bug after the images had loaded.;false
iPhone - Venue Map;incomplete;Triangle/Arrow shows above the levels filter/pin filter;false
iPhone - Venue Map;incomplete;If you click a pin and then change levels, the arrow stays on the screen;false
iPhone - Rosters - Teams;complete;Team colors and assets aren't updating;false
iPhone - Rosters - Teams;complete;Sort players by number;false
iPhone - Rosters - Teams;complete;Auto scrolling to the top of roster when changing teams;false
iPhone - Rosters - Teams;complete;Team colors update, but the asset/logo doesn't.;false
iPhone - Rosters - Teams;complete;Player photos don't appear in the list view or when you click to bring up an individual player. If no photo, then there should be a place holder.;false
iPhone - Maps - Transportation;complete;The information bubble/arrow shows above the switch;false
iPhone - Maps - Transportation;complete;If you leave the transportation map and go anywhere else in the app, the bubble should pre-populate if you go back to the transportation map;false
iPhone - Maps - Transportation;complete;iPad 3 (iOS 6) and iPhone 4 (5.1.1) - Can't click on the pin to bring up stadium information;false
iPhone - Calendar - Scrolling;complete;Any iOS device - When there is only one event listed, you can scroll left or right to bring up "more events."  This shouldn't happen;false
iPhone - Calendar - Scrolling;complete;When there are multiple events, with different pictures, the image flickers.;false
Venue - Update;complete;Tried to update a venue populated by OPTA and received several errors. <list of errors>;false
Venue - Update;complete;Could not create new map;false
